nom	genre	editeur	date_sortie
Lego Star Wars: The Force Awakens	Action-adventure	Warner Bros Ent.	Jun 28, 2016
Lego Worlds	Action-adventure	Warner Bros Ent.	Mar 4, 2017
Leo's Fortune: HD Edition	Platform, puzzle	1337 & Senri	Sep 8, 2015
Lethal League	Fighting	Team Reptile	May 10, 2017
Lethal League Blaze	Fighting	Team Reptile	2018
Letter Quest: Grimm's Journey Remastered	Puzzle	Digerati	May 18, 2016
Let Them Come	Shooter	Versus Evil	Dec 8, 2017
Lichdom: Battlemage	Action RPG	Maximum Games	Apr 22, 2016
Lichtspeer	Action	Lichthund	Sep 29, 2016
Life Goes On: Done to Death	Platform, puzzle	Infinite Monkeys Ent.	May 17, 2016
Life Is Strange	Action-adventure	Square Enix	Jan 30, 2015
Life Is Strange 2	Adventure	Square Enix	Sep 26, 2018
Life Is Strange: Before the Storm	Action-adventure	Square Enix	Aug 31, 2017
Limbo	Platform	Playdead	Feb 24, 2015
Linelight	Puzzle	My Dog Zorro	2018
Lithium: Inmate 39	Horror, puzzle	CanuArts	May 31, 2017
The Little Acre	Graphic adventure	Curve Digital	Dec 13, 2016
LittleBigPlanet 3	Platform, puzzle	Sony Computer Ent.	Nov 19, 2014
Little Devil Inside	Action-adventure	TBA	TBA
Little Nightmares	Action-adventure	Bandai Namco Ent.	Apr 28, 2017
Little Witch Academia: Chamber of Time	JRPG	Bandai Namco Ent.	May 15, 2018
Livelock	Shoot 'em up	Perfect World	Aug 31, 2016
Lock's Quest	Real-time strategy	THQ Nordic	May 30, 2017
LocoRoco Remastered	Platform, puzzle	Sony Interactive Ent.	May 9, 2017
LocoRoco 2 Remastered	Platform, puzzle	Sony Interactive Ent.	Dec 9, 2017
Lone Survivor: Director's Cut	Survival horror	Superflat Games	Oct 14, 2014
The Long Dark	Survival	Hinterland Studio	Aug 1, 2017
Loot Rascals	Roguelike	Hollow Ponds	2018
Lords of the Fallen	Action RPG	City Interactive	Oct 28, 2014
Lost Castle	RPG	Another Indie	TBA
Lost Sea	Action-adventure	eastasiasoft	Jul 5, 2016
Lost Soul Aside	Action	Ultizero Co.	2018
Lost Sphear	JRPG	Square Enix	Jan 23, 2018
Lovers in a Dangerous Spacetime	2D platform, action	Asteroid Base	Feb 9, 2016
Lumines Remastered	Puzzle	Enhance Games	Jun 26, 2018
Lumo	Action-adventure	Rising Star Games	May 24, 2016
